"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","570","US-Desk-003 : Search | TC-004: Click en botón de busqueda (lupa)","US-Desk-003 : Funcionamiento del buscador","Wed Aug 14 12:48:59 EDT 2024","passed","Wed Aug 14 12:49:00 EDT 2024","","","",""
"","119","US-Mobile-004 : SignUp | TC-006: Suscripcion a boletin via email","US-Mobile-004 : SignUp","Wed Aug 14 12:49:40 EDT 2024","passed","Wed Aug 14 12:49:41 EDT 2024","","","",""
"","1792","US-Mobile-004 : SignUp | TC-005: Diligenciamiento de formulario","US-Mobile-004 : SignUp","Wed Aug 14 12:49:39 EDT 2024","passed","Wed Aug 14 12:49:40 EDT 2024","","","",""
"","921","US-Mobile-005 : Menú desplegable | TC-002: Menú Cellphones","US-Mobile-005 : Navegación por menú desplegable","Wed Aug 14 12:50:42 EDT 2024","passed","Wed Aug 14 12:50:43 EDT 2024","","","",""
"","11024","US-Desk-002 : Shop | TC-007: Click en carrito de compra","US-Desk-002 : Simulación de compra de un celular","Wed Aug 14 12:48:29 EDT 2024","passed","Wed Aug 14 12:48:40 EDT 2024","","","",""
"","4522","US-Desk-002 : Shop | TC-005: Get Shiped Checkbox","US-Desk-002 : Simulación de compra de un celular","Wed Aug 14 12:48:18 EDT 2024","passed","Wed Aug 14 12:48:22 EDT 2024","","","",""
"","125","US-Desk-001 : SignUp | TC-006: Suscripcion a boletin via email","US-Desk-001 : SignUp","Wed Aug 14 12:47:00 EDT 2024","passed","Wed Aug 14 12:47:00 EDT 2024","","","",""
"","336","US-Mobile-004 : SignUp | TC-008: Bienvenida","US-Mobile-004 : SignUp","Wed Aug 14 12:50:26 EDT 2024","passed","Wed Aug 14 12:50:26 EDT 2024","","","",""
"","733","US-Desk-003 : Search | TC-003: Click en botón de busqueda (lupa)","US-Desk-003 : Funcionamiento del buscador","Wed Aug 14 12:48:59 EDT 2024","passed","Wed Aug 14 12:48:59 EDT 2024","","","",""
"","15928","US-Mobile-004 : SignUp | TC-001: Ingresar a la pagina web","US-Mobile-004 : SignUp","Wed Aug 14 12:49:13 EDT 2024","passed","Wed Aug 14 12:49:29 EDT 2024","","","",""
"","6112","US-Desk-002 : Shop | TC-006: Seleccionar Celular","US-Desk-002 : Simulación de compra de un celular","Wed Aug 14 12:48:22 EDT 2024","passed","Wed Aug 14 12:48:29 EDT 2024","","","",""
"","891","US-Desk-001 : SignUp | TC-004: Click en creación de nueva cuenta","US-Desk-001 : SignUp","Wed Aug 14 12:46:55 EDT 2024","passed","Wed Aug 14 12:46:56 EDT 2024","","","",""
"","14922","US-Desk-002 : Shop | TC-001: Pagina principal y aceptar Cookies","US-Desk-002 : Simulación de compra de un celular","Wed Aug 14 12:47:48 EDT 2024","passed","Wed Aug 14 12:48:03 EDT 2024","","","",""
"","4389","US-Desk-001 : SignUp | TC-005: Diligenciamiento de formulario","US-Desk-001 : SignUp","Wed Aug 14 12:46:56 EDT 2024","passed","Wed Aug 14 12:47:00 EDT 2024","","","",""
"","1729","US-Mobile-004 : SignUp | TC-003: Click boton Account","US-Mobile-004 : SignUp","Wed Aug 14 12:49:30 EDT 2024","passed","Wed Aug 14 12:49:31 EDT 2024","","","",""
"","1678","US-Desk-003 : Search | TC-002: Escribir en buscador y confirmar menú desplegable","US-Desk-003 : Funcionamiento del buscador","Wed Aug 14 12:48:57 EDT 2024","passed","Wed Aug 14 12:48:59 EDT 2024","","","",""
"","45196","US-Desk-001 : SignUp | TC-007: Click en Create Account","US-Desk-001 : SignUp","Wed Aug 14 12:47:00 EDT 2024","passed","Wed Aug 14 12:47:45 EDT 2024","","","",""
"","2559","US-Mobile-006 : Search | TC-004: Seleccionar primer elemento","US-Mobile-006 : Funcionamiento del buscador","Wed Aug 14 12:51:01 EDT 2024","passed","Wed Aug 14 12:51:04 EDT 2024","","","",""
"","609","US-Desk-001 : SignUp | TC-002: Aceptar Cookies","US-Desk-001 : SignUp","Wed Aug 14 12:46:53 EDT 2024","passed","Wed Aug 14 12:46:53 EDT 2024","","","",""
"","13376","US-Mobile-006 : Search | TC-001: Pagina principal y aceptar Cookies","US-Mobile-006 : Funcionamiento del buscador","Wed Aug 14 12:50:46 EDT 2024","passed","Wed Aug 14 12:50:59 EDT 2024","","","",""
"","6236","US-Mobile-006 : Search | TC-005: Clic en Carrito de compras","US-Mobile-006 : Funcionamiento del buscador","Wed Aug 14 12:51:04 EDT 2024","passed","Wed Aug 14 12:51:10 EDT 2024","","","",""
"","45220","US-Mobile-004 : SignUp | TC-007: Click en Create Account","US-Mobile-004 : SignUp","Wed Aug 14 12:49:41 EDT 2024","passed","Wed Aug 14 12:50:26 EDT 2024","","","",""
"","13573","US-Mobile-005 : Menú desplegable | TC-001: Pagina principal y aceptar Cookies","US-Mobile-005 : Navegación por menú desplegable","Wed Aug 14 12:50:29 EDT 2024","passed","Wed Aug 14 12:50:42 EDT 2024","","","",""
"","1415","US-Desk-001 : SignUp | TC-003: Click boton Account","US-Desk-001 : SignUp","Wed Aug 14 12:46:53 EDT 2024","passed","Wed Aug 14 12:46:55 EDT 2024","","","",""
"","58","US-Desk-001 : SignUp | TC-008: Bienvenida","US-Desk-001 : SignUp","Wed Aug 14 12:47:45 EDT 2024","passed","Wed Aug 14 12:47:45 EDT 2024","","","",""
"","1206","US-Desk-002 : Shop | TC-002: Menú Cellphones","US-Desk-002 : Simulación de compra de un celular","Wed Aug 14 12:48:03 EDT 2024","passed","Wed Aug 14 12:48:04 EDT 2024","","","",""
"","938","US-Mobile-005 : Menú desplegable | TC-003: Unlocked Phones On Sale","US-Mobile-005 : Navegación por menú desplegable","Wed Aug 14 12:50:43 EDT 2024","passed","Wed Aug 14 12:50:44 EDT 2024","","","",""
"","1140","US-Mobile-006 : Search | TC-002: Escribir en buscador y confirmar menú desplegable","US-Mobile-006 : Funcionamiento del buscador","Wed Aug 14 12:50:59 EDT 2024","passed","Wed Aug 14 12:51:00 EDT 2024","","","",""
"","35664","US-Desk-001 : SignUp | TC-001: Ingresar a la pagina web","US-Desk-001 : SignUp","Wed Aug 14 12:46:17 EDT 2024","passed","Wed Aug 14 12:46:53 EDT 2024","","","",""
"","848","US-Mobile-006 : Search | TC-003: Click en botón de busqueda (lupa)","US-Mobile-006 : Funcionamiento del buscador","Wed Aug 14 12:51:00 EDT 2024","passed","Wed Aug 14 12:51:01 EDT 2024","","","",""
"","15270","US-Desk-003 : Search | TC-001: Pagina principal y aceptar Cookies","US-Desk-003 : Funcionamiento del buscador","Wed Aug 14 12:48:42 EDT 2024","passed","Wed Aug 14 12:48:57 EDT 2024","","","",""
"","854","US-Mobile-004 : SignUp | TC-002: Aceptar Cookies","US-Mobile-004 : SignUp","Wed Aug 14 12:49:29 EDT 2024","passed","Wed Aug 14 12:49:30 EDT 2024","","","",""
"","5995","US-Desk-002 : Shop | TC-003: Unlocked Phones On Sale","US-Desk-002 : Simulación de compra de un celular","Wed Aug 14 12:48:04 EDT 2024","failed","Wed Aug 14 12:48:10 EDT 2024","","","",""
"","7157","US-Mobile-004 : SignUp | TC-004: Click en creación de nueva cuenta","US-Mobile-004 : SignUp","Wed Aug 14 12:49:31 EDT 2024","passed","Wed Aug 14 12:49:39 EDT 2024","","","",""
"","8187","US-Desk-002 : Shop | TC-004: IPhone","US-Desk-002 : Simulación de compra de un celular","Wed Aug 14 12:48:10 EDT 2024","failed","Wed Aug 14 12:48:18 EDT 2024","","","",""
"","5492","US-Desk-003 : Search | TC-005: Filtro: Laptop Windows","US-Desk-003 : Funcionamiento del buscador","Wed Aug 14 12:49:00 EDT 2024","passed","Wed Aug 14 12:49:05 EDT 2024","","","",""
